Game,Category,Description,CPU,GPU,RAM,File Size
Black Myth: Wukong,Action / RPG / Adventure,"Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.",Intel Core i5-8400  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,130 GB
Avowed,Unknown,"Avowed is a first-person fantasy RPG set in the world of Eora, where your choices carve a path through war, intrigue, and ancient mysteries. Navigate a land in turmoil, forge powerful alliances or deadly rivalries, and wield magic and steel to shape the fate of the Living Lands—and your own destiny.",Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,75 GB
The First Berserker: Khazan,Action / RPG / Adventure,"The First Berserker: Khazan is a hardcore action role-playing game. The player will become Khazan, the great general of the Pell Los Empire, who overcame death, and sets out to reveal the incidents that led to his downfall and seek vengeance on his enemies.",Intel Core i3-6300  / Ryzen 3 1200,AMD Radeon RX 580  / GeForce GTX 970,12 GB,70 GB
Apex Legends,Action / Adventure / Free to Play,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",Intel Core i3-6300  / FX-4350,NVIDIA GeForce GT 640  / Radeon HD 7730,6 GB,22 GB
Wreckfest 2,Racing / Early Access,"Ready for mayhem? Wreckfest is back, offering the best in full-contact racing with unrivaled destruction! Witness head-to-head battles as you tear apart rival vehicles bit by bit. Powered by the enhanced physics engine, developed by the creators of Wreckfest & FlatOut!",Intel Core i5-8600,NVIDIA GeForce GTX 1060,8 GB,15 GB
The Witcher 3,RPG / FPS,"You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world.",AMD Phenom II X4 940,NVIDIA GeForce GTX 660,6 GB,35 GB
Tom Clancys Rainbow Six Siege,Action / FPS,"Tom Clancy's Rainbow Six® Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",AMD Phenom II X4 945,NVIDIA GeForce GTX 460,6 GB,61 GB
Palworld,Action / RPG / Indie,"Fight, farm, build and work alongside mysterious creatures called ""Pals"" in this completely new multiplayer, open world survival and crafting game!",Intel Core i5-3570K,NVIDIA GeForce GTX 1050,16 GB,40 GB
Blood Strike,Action / MMO / Free to Play,"Blood Strike is a free FPS game which has more than 300 million faithful players in China. Now the battle is on, there are various modes and weapons for you to explore! Call your friends and join us,get into the battle field now!",Intel Pentium 4 2.00GHz,NVIDIA GeForce 9400,4 GB,1 GB
World of Warcraft,RPG / MMO,"Join millions of players and enter a world of myth, magic, and endless adventure.",Intel Core i5-4210H,NVIDIA GeForce GTX 960,8 GB,128 GB
God of War,Action / RPG / Adventure,"His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.",Intel Core i5-2500K,NVIDIA GeForce GTX 960,8 GB,70 GB
Path of Exile 2,Unknown,"Path of Exile 2 is a next generation Action RPG created by Grinding Gear Games. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading. Path of Exile 2 is a free-to-play online multiplayer game with co-op for up to six players.",Intel Core i5-2500K,NVIDIA GeForce GTX 960  / Radeon RX 470,8 GB,100 GB
League of Legends,Action / Strategy / RPG,"League of Legends is a fast-paced, competitive online game that blends the speed and intensity of an RTS with RPG elements. Two teams of powerful champions, each with a unique design and playstyle, battle head-to-head across multiple battlefields and game modes. With an ever-expanding roster of champions, frequent updates and a thriving tournament scene, League of Legends offers endless replayability for players of every skill level.",Intel Core i3-530,AMD Radeon HD 6570,2 GB,16 GB
F1® 24,Racing / Sports,"Join the grid and Be One of the 20. Drive like the greatest in EA SPORTS™ F1® 24, the official video game of the 2024 FIA Formula One World Championship™.",Intel Core i5-9600K,Unknown,8 GB,100 GB
Stalker 2,Action / RPG / Adventure,"Discover the vast Chornobyl Exclusion Zone full of dangerous enemies, deadly anomalies and powerful artifacts. Unveil your own epic story as you make your way to the Heart of Chornobyl. Make your choices wisely, as they will determine your fate in the end.",Intel Core i7-7700K  / Ryzen 5 1600X,AMD Radeon RX 580  / GeForce GTX 1060,16 GB,160 GB
Star Citizen,Action / Simulation / MMO,"Imagine a universe that combines the freedom of exploration, the thrill of combat, and the unique challenge of building a life in space. Star Citizen puts ultimate control in the hands of the player, whether you're making your way as a cargo hauler, exploring the vastness of space, or scraping out a living outside the law, you will navigate through a mixture of procedurally generated and handcrafted worlds and interact with a variety of characters.",Intel Core i7-4790K  / Ryzen 5 1600,NVIDIA GeForce GTX 970  / Radeon RX 570,16 GB,150 GB
Dota 2,Action / Strategy / Free to Play,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",Intel Pentium D 915,NVIDIA GeForce 8600 GT,4 GB,15 GB
Devil May Cry 5,Action / FPS,"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.",Intel Core i7-4770,NVIDIA GeForce GTX 760,8 GB,35 GB
FIFA 19,Casual / Sports,"All the FIFA action you love, brought up to date for 2019. The game is definitely the best PC football game - even though it isn't on Steam.",Intel Core i3-2100,AMD Radeon R7 260,8 GB,50 GB
Adobe Premiere Pro,Utilities / Video Production,"Premiere Pro is the industry-leading video editing software for film, TV and the web.",Intel Core i3-6100,NVIDIA GeForce GTX 970,8 GB,8 GB
Silent Hill 2,Action / Adventure / Violent,"Investigating a letter from his late wife, James returns to where they made so many memories - Silent Hill. What he finds is a ghost town, prowled by disturbing monsters and cloaked in deep fog. Confront the monsters, solve puzzles, and search for traces of your wife in this remake of SILENT HILL 2.",Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 1080  / Radeon RX 5700 XT,12 GB,50 GB
Cricket 24,Sports / Simulation,Cricket 24 is the culmination of a decade of Cricket video game development and includes teams from every corner of the globe.,Intel Core i3-2100,NVIDIA GeForce GTX 770,8 GB,60 GB
Resident Evil 4 Remake,Action / Adventure / Violent,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.",Intel Core i5-7500  / Ryzen 3 1200,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 560,8 GB,40 GB
Cities Skylines 2,Unknown,"Create and manage your own city without restrictions. Offering a deep simulation and a living economy, Cities: Skylines II will challenge your decision-making skills and allow you to build the cities of your dreams. Get ready for a new epic scale in the most realistic city builder - ever.",Intel Core i7-9700K  / Ryzen 5 2600X,NVIDIA GeForce GTX 970  / Radeon RX 470,8 GB,60 GB
Warframe,Action / RPG / Free to Play,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,Intel Core 2 Duo E6400,Intel HD 3000,4 GB,10 GB
BeamNG.drive,Racing / Simulation / Early Access,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,Intel Core i3-6300  / FX-6300,NVIDIA GeForce GTX 550 Ti  / Radeon HD 7750,16 GB,45 GB
Kingdom Come: Deliverance,Action / RPG / Adventure,"Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!",AMD Phenom II X4 940,NVIDIA GeForce GTX 660,8 GB,40 GB
DOOM 2016,Action / Strategy / Indie,"Now includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and the latest Update 6.66, which brings further multiplayer improvements as well as revamps multiplayer progression.",Intel Core i5-2400,AMD Radeon HD 7870,8 GB,55 GB
Fallout 4,RPG / FPS / Third-person shooter,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",AMD Phenom II X4 945,AMD Radeon HD 7870,8 GB,30 GB
Forza Horizon 4,Racing / Simulation / MMO,"Dynamic seasons change everything at the world’s greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world. Collect, modify and drive over 450 cars. Race, stunt, create and explore – choose your own path to become a Horizon Superstar.",Intel Core i3-4170,NVIDIA GeForce GTX 650 Ti,8 GB,65 GB
Phasmophobia,Action / Indie / Early Access,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,AMD FX-8350,AMD Radeon R9 290 / 390,8 GB,16 GB
Starfield,Action / RPG / Adventure,"Starfield is the first new universe in 25 years from Bethesda Game Studios, the award-winning creators of The Elder Scrolls V: Skyrim and Fallout 4.",Intel Core i7-6800K  / Ryzen 5 2600X,NVIDIA GeForce GTX 1070 Ti  / Radeon RX 5700,16 GB,125 GB
Blender,Animation & Modeling / Design & Illustration / Video Production,"Blender is the free and open source 3D creation suite. Free to use for everyone, for any purpose.",Intel Core i5-4590,NVIDIA GeForce GTS 450,8 GB,500 MB
NBA 2K25,Sports / Simulation,"Command every court with authenticity and realism Powered by ProPLAY™, giving you ultimate control over how you play in NBA 2K25. Define your legacy in MyCAREER, MyTEAM, MyNBA, and The W.",Intel Core i3-9100,NVIDIA GeForce GTX 960,8 GB,150 GB
It Takes Two,Action / Indie / Adventure,"Download Friend's Pass* and play It Takes Two with a friend for free. Just grab a friend who owns the full game, download Friend's Pass for free, and play together!",Intel Core i3-2100T,AMD Radeon R7 260X,8 GB,50 GB
Zenless Zone Zero,Action / RPG,"Zenless Zone Zero is an action RPG where you play as a Proxy, guiding others through alternate dimensions called Hollows. Recruit Agents, fight Ethereals, and explore with robotic Bangboo companions. Switch between 2D dungeon crawling and intense 3D hack-and-slash combat as you uncover treasures and face enemies.",Intel Core i5-7200U,NVIDIA GeForce GTX 970,8 GB,10 GB
No Man's Sky,Action / Adventure / FPS,No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.,Intel Core i3-3210,NVIDIA GeForce GTX 1060  / Radeon RX 470,8 GB,15 GB
Final Fantasy 7 Rebirth,Action / RPG / Adventure,"The Unknown Journey Continues... After escaping the city of Midgar, Cloud and his friends set out on a journey across the planet. New adventures await in a vibrant, expansive world in this standalone entry of the FFVII remake trilogy.",AMD Ryzen 5 1400  / Core i3-8100,AMD Radeon RX 6600  / GeForce RTX 2060,16 GB,155 GB
War Thunder,Action / Simulation / MMO,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",Intel Core 2 Duo E8400,NVIDIA GeForce GTX 660  / Radeon HD 7750,4 GB,17 GB
Space Marine 2,Action / RPG / Adventure,Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,Intel Core i5-8600K,NVIDIA GeForce GTX 1060,8 GB,75 GB
