Game,Category,Description,CPU,GPU,RAM,File Size
Content Warning,Action / Indie / Adventure,Film your friends doing scary things to become SpöökTube famous! (strongly advised to not go alone),Intel Core i5-3210M,NVIDIA GeForce GTX 1050 Ti  / Radeon R9 380,8 GB,4 GB
Sniper Elite 5,Action / Adventure,"The award-winning series returns as Karl Fairburne fights to uncover Project Kraken in 1944 France. The genre-defining authentic sniping, with enhanced kill cam, has never looked or felt better as you fight across immersive maps to stop the Nazi war machine in its tracks.",Intel Core i3-8100,AMD Radeon R5 M330,8 GB,85 GB
Middle-earth: Shadow of Mordor,Action / Adventure / FPS,"Fight through Mordor and uncover the truth of the spirit that compels you, discover the origins of the Rings of Power, build your legend and ultimately confront the evil of Sauron in this new chronicle of Middle-earth.",Intel Core i5-750,Unknown,3 GB,44 GB
Dragon Age Inquisition,Action / Strategy / RPG,"Winner of over 130 Game of the Year awards, discover the definitive Dragon Age: Inquisition experience. The Game of the Year Edition includes the critically acclaimed game, all three official add-ons - Jaws of Hakkon, The Descent, and Trespasser - and more.",Intel Core 2 Quad Q6600,NVIDIA GeForce 8800 GT,4 GB,26 GB
Resident Evil 6 / Biohazard 6,Action / Adventure / FPS,"Blending action and survival horror, Resident Evil 6 promises to be the dramatic horror experience of 2013.",Intel Pentium 4 4.00GHz,NVIDIA GeForce 256,2 GB,16 GB
PAYDAY 3,Action / RPG / Adventure,"PAYDAY 3 is the much anticipated sequel to one of the most popular co-op shooters ever. Since its release, PAYDAY-players have been reveling in the thrill of a perfectly planned and executed heist. That’s what makes PAYDAY a high-octane, co-op FPS experience without equal.",Intel Core i5-9400F,NVIDIA GeForce GTX 1650,16 GB,Unknown
F1 2020,Racing / Sports / Simulation,"F1® 2020 allows you to create your F1® team for the very first time and race alongside the official teams and drivers. Alternatively, challenge your friends in new split-screen with casual race options for more relaxed racing. Compete on 22 circuits, with current and classic content.",Intel Core i3-2130,AMD Radeon HD 7750,8 GB,80 GB
Watch Dogs Legion,Action / Violent,"Watch Dogs: Legion is the upcoming game in the Watch Dogs series. In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable. The fate of London lies with you and your ability to fight back. Welcome to the Resistance.",Intel Core i5-4460,NVIDIA GeForce GTX 970,8 GB,45 GB
Adobe Lightroom,Photo Editing / Utilities,"Lightroom is the cloud-based photo editor that gives you everything you need to edit, organise, store and share your photos.",Intel Core i3-2120,NVIDIA GeForce GTX 960,4 GB,2 GB
Mass Effect Legendary Edition,Action / RPG,"The Mass Effect™ Legendary Edition includes single-player base content and over 40 DLC from the highly acclaimed Mass Effect, Mass Effect 2, and Mass Effect 3 games, including promo weapons, armors, and packs — remastered and optimized for 4K Ultra HD.",Intel Core i5-3570  / FX-8350,NVIDIA GeForce GTX 760  / Radeon HD 7970,8 GB,120 GB
GTA Trilogy,Unknown,"Three iconic cities, three epic stories. Play the genre-defining classics of the original GTA Trilogy: GTA III, GTA: Vice City and GTA: San Andreas updated for a new generation, now with across-the-board enhancements including brilliant new lighting and environmental upgrades, with high-resolution textures, increased draw distances, GTA V-style controls and targeting, and much more, bringing these beloved worlds to life with all-new levels of detail.",Intel Core i5-6600K,NVIDIA GeForce GTX 760,8 GB,45 GB
Age of Empires II: Definitive Edition,Unknown,"42 Civilizations, 229 Campaign Missions, Singleplayer, Co-Op, Multiplayer, In-Game Editor, Mods, Cross-play...It is good to be the king.",Intel Core 2 Duo Q6867,AMD Radeon HD 6850,4 GB,15 GB
Hunt Showdown,Action / Early Access / FPS,"Hunt: Showdown 1896 is a new era of the addictively unforgiving extraction shooter. In corrupted backwaters lost to history, fight back alone – or with friends – against timeless evil. Twisted monsters and other ruthless Hunters stand between you and your Bounty. Risk everything as Hunt consumes you",AMD Ryzen 5 2600,Unknown,8 GB,75 GB
FOR HONOR,Action / FPS / MOBA,"Fight alone or with friends in For Honor, a third-person hero-based melee fighting game. Enter the chaos of war as a Knight, a Viking, a Samurai, a Wu Lin, or an Outlander. Fight in brutal PvP and team-oriented modes, or play the thrilling story campaign.",Intel Core i3-550,NVIDIA GeForce GTX 750 Ti,4 GB,40 GB
Pathfinder: Wrath of the Righteous,Action / Strategy / RPG,"Embark on a journey to a realm overrun by demons in a new epic RPG from the creators of the critically acclaimed Pathfinder: Kingmaker. Explore the nature of good and evil, learn the true cost of power, and rise as a Mythic Hero capable of deeds beyond mortal expectations.",Intel Core i3-2310M,NVIDIA GeForce 940M,6 GB,50 GB
Age of Mythology: Retold,Unknown,"From the creators of the award-winning Age of Empires franchise, Age of Mythology: Retold goes beyond history to a mythical age where gods, monsters, and humans collide.",Intel Core i3-4130  / FX-4350,NVIDIA GeForce GTX 645  / Radeon Vega 8,8 GB,25 GB
Foundation,Strategy / Casual / Indie,"Foundation is a grid-less, laidback medieval city-building game with a focus on organic development, monument construction and resource management.",Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,Unknown
The Walking Dead: The Telltale Definitive Series,Adventure / FPS,"The Walking Dead: The Telltale Definitive Series contains all 4 Seasons, 400 Days, and The Walking Dead: Michonne, which includes over 50 hours of gameplay across 23 unique episodes.",Intel Core 2 Duo Q6867,NVIDIA GeForce GTS 450,3 GB,45 GB
War Robots: Frontiers,Action / Simulation / Free to Play,"Gear up for tactical mech action in War Robots: Frontiers, a free-to-play multiplayer mech shooter. Construct and customize, squad up with Pilots online, and fire up your engines in massive intergalactic battles.",Intel Core i5-3470,NVIDIA GeForce GTX 660,8 GB,10 GB
My Summer Car,Racing / Indie / Simulation,"My Summer Car is the ultimate car owning, building, fixing, tuning, maintenance AND permadeath life survival simulator. You start the game with hundreds of loose parts and assemble both car and engine.",Intel Core 2 Duo Q6867,Unknown,6 GB,1 GB
Forza Motorsport,Unknown,Compete in over 500 cars on 30 world-famous tracks – now featuring the legendary Fujimi Kaido! Play the new 20th Anniversary Tour and obtain special rewards.,Intel Core i5-8400,NVIDIA GeForce GTX 1070,16 GB,110 GB
Train Sim World® 5,Unknown,The Rails are Yours in Train Sim World 5! Take on new challenges and new roles as you master the tracks and trains of iconic cities across 3 new routes. Immerse yourself in the ultimate rail hobby and embark on your next journey.,Intel Core i5-4690,Unknown,8 GB,35 GB
Tiny Glade,Casual / Indie / Simulation,"Tiny Glade is a small diorama builder where you doodle whimsical castles, cozy cottages & romantic ruins. Explore gridless building chemistry as the game adorns your glades with procedural detail. No management, combat or goals: just kick back and turn forgotten meadows into lovable dioramas.",Intel Core i5-760,AMD Radeon R9 270,4 GB,3 GB
Wolfenstein: The New Order,Action / FPS,"Wolfenstein®: The New Order reignites the series that created the first-person shooter genre. Wolfenstein offers a deep game narrative packed with action, adventure and first-person combat.",Intel Core i7-610,AMD Radeon HD 6850,4 GB,50 GB
Heavy Rain,Action / Adventure / FPS,"Experience a gripping psychological thriller filled with innumerable twists and turns. The hunt is on for a murderer known only as the Origami Killer. Four characters, each following their own leads, must take part in a desperate attempt to prevent the killer from claiming a new victim.",Intel Core i5-4430,AMD Radeon HD 7870,4 GB,35 GB
Portal with RTX,Unknown,"Experience the critically acclaimed and award-winning Portal™ reimagined with full ray tracing and DLSS 4 in this free DLC for Portal owners. Start thinking with portals, with RTX on.",Intel Core i7-6700  / Ryzen 5 3600,NVIDIA GeForce RTX 3060,16 GB,25 GB
Cricket 22,Sports / Simulation / Early Access,"Cricket 22 delivers the Ashes, the Big Bash, The Hundred, and a multitude of other fan-favourite competitions! All-new mechanics, commentary, and a captivating, narrative driven career mode, will immediately immerse you in the ultimate cricket experience to date.",Intel Core i3-2340UE,Unknown,8 GB,45 GB
Nymphomaniac - Sex Addict,Adventure / Early Access,"A visually stunning story about a nymphomaniac who loves her body, sex and adrenaline. All this presented in a photorealistic audiovisual setting.",Intel Core i5-6500,NVIDIA GeForce GTX 1050,8 GB,17 GB
Diablo 3,Action / RPG,"Diablo III is a genre-defining action-RPG set in Sanctuary, a world ravaged by the eternal conflict between angels and demons.",AMD Athlon 64 X2 5600+,AMD Radeon X1950 Pro,1 GB,12 GB
Need for Speed: Most Wanted (2005),Unknown,"Rule the streets as the most notorious street racer in various distinct regions that include edgy and upscale industrial and urban environments. In the game, the environment can be a friend for a foe. New and exciting gameplay that incorporate strategic cop pursuit and skill-based evasion techniques with illicit street racing.",AMD Athlon XP 1700+,ATI Radeon 7500,1 GB,3 GB
Borderlands 2,Action / RPG / FPS,The Ultimate Vault Hunter’s Upgrade lets you get the most out of the Borderlands 2 experience.,Intel Core 2 Duo T7700,ATI Radeon HD 2600 PRO,2 GB,13 GB
theHunter: Call of the Wild,Sports / Adventure / Simulation,"Discover an atmospheric hunting game like no other in this realistic, stunning open world – regularly updated in collaboration with the community. Immerse yourself in the single player campaign, or share the ultimate hunting experience with friends.",Intel Core i3-4170,NVIDIA GeForce GTX 660,4 GB,60 GB
GUILTY GEAR -STRIVE-,Action / Fighting,The cutting-edge 2D/3D hybrid graphics pioneered in the Guilty Gear series have been raised to the next level in “GUILTY GEAR -STRIVE-“. The new artistic direction and improved character animations will go beyond anything you’ve seen before in a fighting game!,Intel Core i5-3450,AMD Radeon HD 6870,4 GB,26 GB
Combat Master,Action / Free to Play,Join fast-paced action-packed combat. Play Combat Master -- AAA experience on any hardware. Best-in-class multiplayer gunfight. Next-level extreme performance. Lightning-speed loading time and a whole lot more.,Intel Core 2 Duo E6600,ATI FireMV 2400 PCIe,4 GB,1 GB
Farlight 84,Action / Adventure / MMO,1st Pet Capture Battle Royale!,Intel Core i3-6300,AMD Radeon HD 7730,6 GB,10 GB
DCS World Steam Edition,Simulation / Free to Play / FPS,"Feel the excitement of flying the Su-25T ""Frogfoot"" attack jet and the TF-51D ""Mustang"" in the free-to-play Digital Combat Simulator World!",Intel Core i5-1300F,Unknown,16 GB,200 GB
Le Mans Ultimate,Racing / Early Access,"Le Mans is a continually evolving story... powered by emotion, speed and glory. Le Mans Ultimate - the official game of the FIA World Endurance Championship and 24 Hours of Le Mans.",Intel Core i5-4460,Unknown,8 GB,30 GB
DRAGON BALL XENOVERSE 2,Action / Casual / Adventure,DRAGON BALL XENOVERSE 2 builds upon the highly popular DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever developed.,Intel Core i5-3570,Unknown,4 GB,Unknown
Call of Duty: World at War,Action / FPS,"Call of Duty is back, redefining war like you've never experienced before. Building on the Call of Duty 4®: Modern Warfare engine, Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced.",Intel Core 2 Duo E8400,AMD Radeon X1600,1 GB,8 GB
